행정구역(시군구)별,성별,연령별,인구 (명)
 중랑구,여자,50 - 54세,17128
 중랑구,여자,55 - 59세,17829.5
 중랑구,여자,60 - 64세,16760
 중랑구,여자,65 - 69세,11842.5
 중랑구,여자,70 - 74세,9312.5
 중랑구,여자,75 - 79세,7163.5
 중랑구,여자,80세 이상,7912
 중랑구,여자,80 - 84세,4492.5
 중랑구,여자,85세 이상,3419.5
 중랑구,여자,85 - 89세,2280
 중랑구,여자,90 - 94세,899.5
 중랑구,여자,95 - 99세,207.5
 중랑구,여자,100세 이상,32.5
 성북구,계,계,432206
 성북구,계,0 - 4세,12936.5
 성북구,계,5 - 9세,16941.5
 성북구,계,10 - 14세,17406
 성북구,계,15 - 19세,20578.5
 성북구,계,20 - 24세,32047
 성북구,계,25 - 29세,34141.5
 성북구,계,30 - 34세,28190.5
 성북구,계,35 - 39세,32089.5
 성북구,계,40 - 44세,31746
 성북구,계,45 - 49세,38195.5
 성북구,계,50 - 54세,35425
 성북구,계,55 - 59세,32449.5
 성북구,계,60 - 64세,30547.5
 성북구,계,65 - 69세,21965.5
 성북구,계,70 - 74세,17793
 성북구,계,75 - 79세,14645
 성북구,계,80세 이상,15108
 성북구,계,80 - 84세,9286
 성북구,계,85세 이상,5822
 성북구,계,85 - 89세,4040
 성북구,계,90 - 94세,1443.5
 성북구,계,95 - 99세,302
 성북구,계,100세 이상,36.5
 성북구,남자,계,209001.5
 성북구,남자,0 - 4세,6640.5
 성북구,남자,5 - 9세,8637
 성북구,남자,10 - 14세,8953.5
 성북구,남자,15 - 19세,10432.5
 성북구,남자,20 - 24세,14746.5
 성북구,남자,25 - 29세,17334
 성북구,남자,30 - 34세,14031
 성북구,남자,35 - 39세,15952.5
 성북구,남자,40 - 44세,15679
 성북구,남자,45 - 49세,18856.5
 성북구,남자,50 - 54세,17626
 성북구,남자,55 - 59세,15742
 성북구,남자,60 - 64세,14438
 성북구,남자,65 - 69세,10273
 성북구,남자,70 - 74세,7773
 성북구,남자,75 - 79세,6362
 성북구,남자,80세 이상,5524.5
 성북구,남자,80 - 84세,3718
 성북구,남자,85세 이상,1806.5
 성북구,남자,85 - 89세,1385.5
 성북구,남자,90 - 94세,351.5
 성북구,남자,95 - 99세,62
 성북구,남자,100세 이상,7.5
 성북구,여자,계,223204.5
 성북구,여자,0 - 4세,6296
 성북구,여자,5 - 9세,8304.5
 성북구,여자,10 - 14세,8452.5
 성북구,여자,15 - 19세,10146
 성북구,여자,20 - 24세,17300.5
 성북구,여자,25 - 29세,16807.5
 성북구,여자,30 - 34세,14159.5
 성북구,여자,35 - 39세,16137
 성북구,여자,40 - 44세,16067
 성북구,여자,45 - 49세,19339
 성북구,여자,50 - 54세,17799
 성북구,여자,55 - 59세,16707.5
 성북구,여자,60 - 64세,16109.5
 성북구,여자,65 - 69세,11692.5
 성북구,여자,70 - 74세,10020
 성북구,여자,75 - 79세,8283
 성북구,여자,80세 이상,9583.5
 성북구,여자,80 - 84세,5568
 성북구,여자,85세 이상,4015.5
 성북구,여자,85 - 89세,2654.5
 성북구,여자,90 - 94세,1092
 성북구,여자,95 - 99세,240
 성북구,여자,100세 이상,29
 강북구,계,계,305511.5
 강북구,계,0 - 4세,7143.5
 강북구,계,5 - 9세,9409
 강북구,계,10 - 14세,10145
 강북구,계,15 - 19세,12601.5
 강북구,계,20 - 24세,19881.5
 강북구,계,25 - 29세,22976
 강북구,계,30 - 34세,18574.5
 강북구,계,35 - 39세,20838
